UNIT;PLANT;COMPANY;MW;YEAR;FUEL;CITY;STATE;COUNTRY;CEC_PLANT_CODE;CEC_UNIT_CODE;COMMENT
AEOLUS TYRE 1;AEOLUS TYRE;AEOLUS TYRE CO LTD;25;2007;COAL;Sanyo Area - Jiaozuo City;Henan;CHINA;NA;NA;
AEOLUS TYRE 2;AEOLUS TYRE;AEOLUS TYRE CO LTD;25;2007;COAL;Sanyo Area - Jiaozuo City;Henan;CHINA;NA;NA;
AKSU COGEN 1;AKSU COGEN;ZHEJIANG ZHENENG ELEC POW CO;350;2015;COAL;Aksu City - Aksu Prefecture;Xinjiang;CHINA;NA;NA;
AKSU COGEN 2;AKSU COGEN;ZHEJIANG ZHENENG ELEC POW CO;350;2015;COAL;Aksu City - Aksu Prefecture;Xinjiang;CHINA;NA;NA;
ALAR CHEMICAL PLANT 1;ALAR CHEMICAL PLANT;XINJIANG AKSU NONGYISHI POWER;50;2011;COAL;Alar City - Aksu Prefecture;Xinjiang;CHINA;NA;NA;
ALAR XINHU 1;ALAR XINHU;ALAR SHENGYUAN THERMAL POW CO;350;2013;COAL;Alar City - Aksu Prefecture;Xinjiang;CHINA;NA;NA;
ALAR XINHU 2;ALAR XINHU;ALAR SHENGYUAN THERMAL POW CO;350;2014;COAL;Alar City - Aksu Prefecture;Xinjiang;CHINA;NA;NA;
AMERICAN VILLAGE 1;AMERICAN VILLAGE;JIANGSU YINLING GROUP CO;12;NA;COAL;Jiangyin City;Jiangsu;CHINA;NA;NA;
ANHUI BENGBU 1;ANHUI BENGBU;CHINA NATL ENERGY INVEST GROUP;600;2008;COAL;Huaiyuan County - Bengbu CIty;Anhui;CHINA;34026;1;
ANHUI BENGBU 2;ANHUI BENGBU;CHINA NATL ENERGY INVEST GROUP;600;2009;COAL;Huaiyuan County - Bengbu CIty;Anhui;CHINA;34026;2;
ANHUI BENGBU 3;ANHUI BENGBU;CHINA NATL ENERGY INVEST GROUP;660;2018;COAL;Huaiyuan County - Bengbu CIty;Anhui;CHINA;NA;NA;
